"no","en","ja","example_en","example_ja"
"1062","screenshot","スクリーンショット","You can take a screenshot of your Amazon EC2 instance's console output.","Amazon EC2インスタンスのコンソール出力のスクリーンショットを撮ることができます。"
"1063","bucket-level","バケットレベル","S3 bucket-level policies allow you to control access to objects in a bucket.","S3のバケットレベルポリシーにより、バケット内のオブジェクトへのアクセスを制御することができます。"
"1064","order","順序","In DynamoDB, you can specify the sort order of the result.","DynamoDBでは、結果のソート順を指定することができます。"
"1065","kind","種類","There are many kinds of AWS EC2 instance types to choose from.","選べるAWS EC2インスタンスタイプの種類は多いです。"
"1066","construct","構築する","You can construct a highly available architecture using multiple AWS services.","複数のAWSサービスを使用して、高可用性のアーキテクチャを構築できます。"
"1067","tune","調整する","Tune your Amazon RDS instance for better performance.","より良いパフォーマンスのためにAmazon RDSインスタンスを調整してください。"
"1068","calculate","計算する","You can use the AWS Pricing Calculator to estimate your monthly costs.","AWS料金計算ツールを使用して、月額コストを見積もることができます。"
"1069","deputy","代理","In AWS, a deputy account could be set up to manage resources.","AWSでは、リソースを管理するための代理アカウントを設定できます。"
"1070","gallery","ギャラリー","You can use the AWS Serverless Application Repository to browse a gallery of applications.","AWSのサーバーレスアプリケーションリポジトリを使用して、アプリケーションのギャラリーを閲覧することができます。"
"1071","cognito","Cognito","AWS Cognito provides authentication, authorization, and user management for your web and mobile apps.","AWS Cognitoは、ウェブアプリケーションやモバイルアプリケーションの認証、認可、ユーザー管理を提供します。"
"1072","frontend","フロントエンド","AWS Amplify makes it easy to create, configure, and implement scalable mobile and web apps' frontend.","AWS Amplifyを使用すると、スケーラブルなモバイルおよびウェブアプリケーションのフロントエンドを簡単に作成、設定、実装できます。"
